ImageNumber,ObjectNumber,Intensity_IntegratedIntensityEdge_OrigGreen,Intensity_IntegratedIntensity_OrigGreen,Intensity_LowerQuartileIntensity_OrigGreen,Intensity_MADIntensity_OrigGreen,Intensity_MassDisplacement_OrigGreen,Intensity_MaxIntensityEdge_OrigGreen,Intensity_MaxIntensity_OrigGreen,Intensity_MeanIntensityEdge_OrigGreen,Intensity_MeanIntensity_OrigGreen,Intensity_MedianIntensity_OrigGreen,Intensity_MinIntensityEdge_OrigGreen,Intensity_MinIntensity_OrigGreen,Intensity_StdIntensityEdge_OrigGreen,Intensity_StdIntensity_OrigGreen,Intensity_UpperQuartileIntensity_OrigGreen,Location_CenterMassIntensity_X_OrigGreen,Location_CenterMassIntensity_Y_OrigGreen,Location_CenterMassIntensity_Z_OrigGreen,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_OrigGreen,Location_MaxIntensity_Y_OrigGreen,Location_MaxIntensity_Z_OrigGreen,Number_Object_Number,Parent_Nuclei
1,26,9.481807321310043,31.21611776947975,0.35763126611709595,0.04126983880996704,0.020187202608463437,0.380952388048172,0.5101343393325806,0.351178048937409,0.40020663807025325,0.3946276009082794,0.32576313614845276,0.32576313614845276,0.012487936605323657,0.04879165522420765,0.44188034534454346,911.1739263102037,311.50623484410096,0.0,911.1794871794872,311.52564102564105,0,911.0,311.0,0.0,26,2
1,27,10.65592211484909,46.63663125038147,0.37142857909202576,0.07155069708824158,0.07861944491615458,0.45177045464515686,0.6989011168479919,0.355197403828303,0.4572218750037399,0.43321123719215393,0.311355322599411,0.311355322599411,0.03108377220755745,0.10210267041994815,0.5317460596561432,871.5329332874521,316.2632306493589,0.0,871.5490196078431,316.1862745098039,0,871.0,316.0,0.0,27,2
1,28,9.093529015779495,41.814409017562866,0.3294261395931244,0.08656898140907288,0.021756109295222075,0.3413919508457184,0.6959707140922546,0.3135699660613619,0.43107638162435946,0.40537241101264954,0.28009769320487976,0.28009769320487976,0.015107909548393599,0.11540023106116691,0.5201465487480164,925.7423290303802,317.52896104826243,0.0,925.7628865979382,317.5360824742268,0,926.0,317.0,0.0,28,2
1,29,6.495238408446312,18.627839490771294,0.2757020890712738,0.03296703100204468,0.01875115051452213,0.28913310170173645,0.40415140986442566,0.270634933685263,0.3104639915128549,0.30695971846580505,0.2410256415605545,0.2410256415605545,0.011172273353475504,0.0407409824879394,0.34163615107536316,421.7288053383753,320.1857081038778,0.0,421.71666666666664,320.2,0,422.0,320.0,0.0,29,3
1,30,10.052747458219528,25.634432643651962,0.37362638115882874,0.018315017223358154,0.03767536855497566,0.4153846204280853,0.4442002475261688,0.3723239799340566,0.3943758868254148,0.39133089780807495,0.33260074257850647,0.33260074257850647,0.019506035613278596,0.027817164977019585,0.4157509207725525,892.4826479162309,320.3016680472669,0.0,892.4461538461538,320.2923076923077,0,893.0,319.0,0.0,30,2
1,31,6.126496031880379,18.526984825730324,0.273565337061882,0.02710622549057007,0.016293142528499983,0.28302809596061707,0.40244200825691223,0.26636939269045123,0.30372106271689053,0.2937729060649872,0.24468864500522614,0.24468864500522614,0.010873847953035263,0.0399306865564762,0.3323565423488617,455.69288764548634,325.6728264934096,0.0,455.6885245901639,325.6885245901639,0,456.0,325.0,0.0,31,3
1,32,10.40170967578888,39.32967132329941,0.35763126611709595,0.056410253047943115,0.07600820225944788,0.4473748505115509,0.591208815574646,0.34672365585962933,0.41840075875850435,0.40537241101264954,0.30207571387290955,0.30207571387290955,0.03594442031894718,0.07547020155322713,0.46654456853866577,870.9628077267621,326.6571171402657,0.0,871.0,326.72340425531917,0,870.0,327.0,0.0,32,2
1,33,13.747253060340881,59.73016020655632,0.37655678391456604,0.07509158551692963,0.058447789463741434,0.4178266227245331,0.7015873193740845,0.3617698173773916,0.4630244977252428,0.44481074810028076,0.30989012122154236,0.30989012122154236,0.02442713569778239,0.10217815174036143,0.542063519358635,902.0655859770823,326.73700198458937,0.0,902.1240310077519,326.73643410852713,0,902.0,327.0,0.0,33,2
1,34,8.943101644515991,29.310623347759247,0.32698413729667664,0.035164833068847656,0.05850420233711779,0.3501831591129303,0.4932844936847687,0.31939648730414255,0.3663827918469906,0.35457876324653625,0.2947497069835663,0.2947497069835663,0.015596748041245962,0.04958527520985951,0.4056166112422943,858.291909321061,332.7795579375116,0.0,858.3,332.8375,0,858.0,331.0,0.0,34,2
1,35,10.39291849732399,30.65714356303215,0.3362026959657669,0.024175822734832764,0.03359562642231329,0.3750915825366974,0.4307692348957062,0.33525543539754804,0.36067227721214296,0.3611721694469452,0.3155067265033722,0.3155067265033722,0.013218829107734626,0.027472379783946493,0.38253968954086304,881.4494945901407,331.5577062479398,0.0,881.4823529411765,331.56470588235294,0,883.0,332.0,0.0,35,2
